Question,Answer
باشه,داداتورکی
داداتورکی,یس
یس,اره
یس,ساقول
باشه,ادم شدی
یس,تورک لرگروهونا گلیرن
ادم شدی,بی حوصله شدم
تورک لرگروهونا گلیرن,پ وی بگو
بی حوصله شدم,شت
سلام خوبی شما؟,خوبم خوبی
شت,جدی بجا نمیارم نمیمیری ک راهنمایی کنی
پ وی بگو,ریپورتم یه س بده پیویم اونجا بگم
جدی بجا نمیارم نمیمیری ک راهنمایی کنی,دوست سپی
پ وی بگو,شما بیاین من ریپورتم
شما بیاین من ریپورتم,صب کن دیگه عه
جدی بجا نمیارم نمیمیری ک راهنمایی کنی,توام بروکن زدیا
دوست سپی,خدا هرچی آدم گیجه رو از زمین برداره
صب کن دیگه عه,باش
توام بروکن زدیا,افتخار کن لنتی
افتخار کن لنتی,ابداع خودم بود لعنتی
افتخار کن لنتی,سلام آقا هادی خوبی
ابداع خودم بود لعنتی,خب من ازش استفادع کردم افتخار کن
جووووون,عشقم چطوره
سلام آقا هادی خوبی,سلام زهرا خانوم جون شما خوبی منم خوبم
خب من ازش استفادع کردم افتخار کن,چجوری افتخار کنم
عشقم چطوره,فداتم خوشگله من
فداتم خوشگله من,نشی ک نفسمی
سلام زهرا خانوم جون شما خوبی منم خوبم,زهرا خانوم جون؟؟
بچ ها چ آموزشی نیاز دارین بگین بزارم سایت,استیمول سافت
سلام دوستان برای سایت خبری کدوم قالب وردپرسی سئوی بهینه ای داره؟,جنه
اهان باشه ممنون بخاطر راهنمایی و توضیحات,خواهش میکنم
کسی میدونه این خطا برای چیه؟,خروجی رو مستقیم به گوشی وصل کردین؟
خروجی رو مستقیم به گوشی وصل کردین؟,نه
روی چی اجرا میکنی توی خوده یوینتی؟,چی رو؟
ایکون برنامه رو عوض کن,مشکل از آیکن نیست
رو باز کن شاید تو اون قسمت باشه,اون رو باز کنم عکس بفرستم ازش؟
امتحان کردین؟,آیکن رو ؟
اره,آره
خطایی که تو عکسی که دادی میگه یه مشکلش میتونه از یو اس بی دیباگ باشه که باید فعال بشه یکی دیگه هم باید ایکون کوچکتری برای برنامه ات انتخاب کنی فکر کنم در مورد اینا حرف میزنه,یو اس بی دیباگ چیه؟
یو اس بی دیباگ چیه؟,چیزی که من میدونم در گوشی یا توی شبیه سازها میتونی یو اس بی دیباگ رو فعال کنی
من اصلا هیچ یو اس بی به سیستم نزدم,بله بالا گفتین
خب چیکار کنم؟,من قبلا همین مشکل رو داشتم ایکن کوچک تری انتخاب میکردم حل میشد حالا تو همین خطا رو تو گوگل سرچ کنی سریع تر به جواب میرسی
